Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)
0.6792233696	32.6051368713	-1.1801561117
0.6792812469	32.6311836243	-1.1805198193
0.6793391017	32.6421165466	-1.1806721687
0.6793969971	32.6558227539	-1.1808629036
0.6794548519	32.6852264404	-1.1812711954
0.6795127088	32.7327957153	-1.1819288731
0.6795705864	32.7802009583	-1.1825809479
0.6796284641	32.8270263672	-1.1832216978
0.6796863414	32.8700141907	-1.1838071346
0.6797441960	32.9235000610	-1.1845316887
0.6798020624	32.9722328186	-1.1851881742
0.6798599516	32.9983024597	-1.1855379343
0.6799178058	33.0204696655	-1.1858345270
0.6799756838	33.0481529236	-1.1862039566
0.6800335611	33.0869712830	-1.1867201328
0.6800914179	33.1351890564	-1.1873582602
0.6801492956	33.1759834290	-1.1878955364
0.6802071735	33.2047042847	-1.1882723570
0.6802650281	33.2293281555	-1.1885944605
0.6803228938	33.2575645447	-1.1889628172
0.6803807718	33.3031959534	-1.1895556450
0.6804386376	33.3499679565	-1.1901602745
0.6804965387	33.3844261169	-1.1906037331
0.6805543932	33.3989143372	-1.1907896996
0.6806122478	33.4125213623	-1.1909641027
0.6806701285	33.4303283691	-1.1911919117
0.6807280061	33.4635047913	-1.1916152239
0.6807858604	33.5040130615	-1.1921299696
0.6808437384	33.5486488342	-1.1926945448
0.6809016160	33.5800781250	-1.1930904388
0.6809594705	33.6043853760	-1.1933957338
